shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2,41.75834583,-111.8008574,155,
2,41.75835057,-111.8008382,156,
2,41.75835177,-111.8008336,157,
2,41.75836004,-111.800805,158,
2,41.7583646,-111.8007891,159,
2,41.75836725,-111.8007807,160,
2,41.75837514,-111.8007436,161,
2,41.75837986,-111.8007185,162,
2,41.75838682,-111.8006768,163,
2,41.75839153,-111.800648,164,
2,41.75839143,-111.8006462,165,
2,41.75840871,-111.8005058,166,
2,41.75842308,-111.8000348,167,
2,41.75842297,-111.7993345,168,
2,41.75840075,-111.7982809,169,
2,41.75839887,-111.7979697,170,
2,41.75840461,-111.7971522,171,
2,41.75841637,-111.7966016,172,
2,41.7584047,-111.7960745,173,
2,41.75838993,-111.7953957,174,
2,41.75839496,-111.7950122,175,
2,41.75839993,-111.7948124,176,
2,41.75839539,-111.7947732,177,
2,41.75839134,-111.7947523,178,
2,41.75838379,-111.7947287,179,
2,41.75837017,-111.7947024,180,
2,41.75835491,-111.7946882,181,
2,41.75833675,-111.7946797,182,
2,41.75831988,-111.7946723,183,
2,41.75829505,-111.7946647,184,
2,41.75827224,-111.7946639,185,
2,41.7582674,-111.7946642,186,
2,41.75805163,-111.7946645,187,
2,41.75783204,-111.7946641,188,
2,41.75746522,-111.7946612,189,
2,41.75693254,-111.7946523,190,
2,41.75640129,-111.7946468,191,
2,41.755814,-111.7946428,192,
2,41.754919,-111.7946362,193,
2,41.75418354,-111.7946255,194,
2,41.75383542,-111.7946196,195,
2,41.75347934,-111.7946142,196,
2,41.75318668,-111.7946144,197,
2,41.75226268,-111.794586,198,
2,41.75131475,-111.7945836,199,
2,41.75062488,-111.7945846,200,
2,41.74955,-111.7945715,201,
2,41.74953292,-111.7945725,202,
2,41.7495272,-111.7945742,203,
2,41.74951385,-111.7945794,204,
2,41.74950948,-111.7945828,205,
2,41.74950482,-111.7945879,206,
2,41.74949547,-111.7945976,207,
2,41.7494866,-111.7946099,208,
2,41.74947961,-111.7946251,209,
2,41.74947412,-111.7946415,210,
2,41.74947236,-111.7946476,211,
2,41.74946932,-111.7946675,212,
2,41.74946599,-111.7946911,213,
2,41.74946397,-111.7947177,214,
2,41.74945732,-111.7948242,215,
2,41.74945516,-111.7949811,216,
2,41.7494514,-111.795182,217,
2,41.74945191,-111.7954656,218,
2,41.7494467,-111.795735,219,
2,41.74944067,-111.7959252,220,
2,41.74943086,-111.7962495,221,
2,41.74942486,-111.7965602,222,
2,41.74942304,-111.7966896,223,
2,41.74942258,-111.7967071,224,
2,41.74942237,-111.7967262,225,
2,41.7494209,-111.7967392,226,
2,41.7494193,-111.7967503,227,
2,41.74941484,-111.7967647,228,
2,41.74941113,-111.7967774,229,
2,41.7494053,-111.7967898,230,
2,41.74939884,-111.796798,231,
2,41.74939146,-111.7968042,232,
2,41.74938099,-111.7968078,233,
2,41.74936579,-111.7968126,234,
2,41.74935174,-111.7968165,235,
2,41.74934917,-111.7968166,236,
2,41.74933732,-111.7968174,237,
2,41.74932375,-111.7968155,238,
2,41.74930493,-111.7968155,239,
2,41.74914014,-111.7968124,240,
2,41.74898799,-111.7968202,241,
2,41.74615665,-111.7968368,242,
2,41.74539712,-111.7968546,243,
2,41.74420937,-111.7968493,244,
2,41.74419754,-111.7968507,245,
2,41.74418456,-111.7968534,246,
2,41.74417197,-111.7968604,247,
2,41.74416185,-111.7968733,248,
2,41.74415805,-111.7968886,249,
2,41.74415503,-111.7969082,250,
2,41.74415399,-111.7969252,251,
2,41.74415448,-111.7969526,252,
2,41.7441545,-111.7969534,253,
2,41.74415497,-111.7969799,254,
2,41.74415436,-111.7970293,255,
2,41.74415915,-111.7971586,256,
2,41.74417883,-111.7979455,257,
2,41.74420078,-111.7989442,258,
2,41.74422484,-111.7999323,259,
2,41.7442566,-111.8012414,260,
2,41.74426789,-111.8022637,261,
2,41.74430434,-111.8028708,262,
2,41.74432707,-111.8031953,263,
2,41.74434138,-111.8038545,264,
2,41.74433943,-111.8041479,265,
2,41.74434654,-111.8045647,266,
2,41.74437465,-111.805589,267,
2,41.74438006,-111.8060445,268,
2,41.7443999,-111.8067906,269,
2,41.74441284,-111.8072263,270,
2,41.74443142,-111.8089081,271,
2,41.74448111,-111.8103478,272,
2,41.74450289,-111.8110134,273,
2,41.74450435,-111.8117711,274,
2,41.74452703,-111.8124154,275,
2,41.74453165,-111.8128601,276,
2,41.74452969,-111.8134547,277,
2,41.74453015,-111.8138087,278,
2,41.74453357,-111.8139533,279,
2,41.74454301,-111.8144544,280,
2,41.74454542,-111.8148806,281,
2,41.74454759,-111.8152419,282,
2,41.7445418,-111.8154113,283,
2,41.74453904,-111.8155155,284,
2,41.7445246,-111.815748,285,
2,41.74451357,-111.8158504,286,
2,41.74449033,-111.815955,287,
2,41.7444204,-111.8161536,288,
2,41.74432914,-111.8163208,289,
2,41.74422474,-111.8164311,290,
2,41.74419336,-111.8164603,291,
2,41.74415638,-111.8164867,292,
2,41.7440921,-111.8165238,293,
2,41.74393158,-111.8166056,294,
2,41.74375438,-111.816684,295,
2,41.74361445,-111.8167009,296,
2,41.74352782,-111.8167052,297,
2,41.74350143,-111.816706,298,
2,41.74338253,-111.8167034,299,
2,41.74327627,-111.8167085,300,
2,41.7432569,-111.8167105,301,
2,41.74294426,-111.8167228,302,
2,41.74248346,-111.8167341,303,
2,41.74204779,-111.8167485,304,
2,41.74153837,-111.8167689,305,
2,41.74105402,-111.8168022,306,
2,41.74078826,-111.8168249,307,
2,41.74076238,-111.8168263,308,
2,41.74074779,-111.8168289,309,
2,41.74073511,-111.8168359,310,
2,41.74072704,-111.8168436,311,
2,41.74071684,-111.8168576,312,
2,41.74070935,-111.8168752,313,
2,41.74070385,-111.8168941,314,
2,41.74070039,-111.8169119,315,
2,41.74071506,-111.8186684,316,
2,41.74073621,-111.8189725,317,
2,41.74081002,-111.8191461,318,
2,41.74085566,-111.8192759,319,
2,41.74084884,-111.8193761,320,
2,41.7408175,-111.8194699,321,
2,41.74075823,-111.8195917,322,
2,41.74073602,-111.8199985,323,
2,41.74077638,-111.8221901,324,
2,41.7408527,-111.8266436,325,
2,41.74085632,-111.8268445,326,
2,41.7408673,-111.8273045,327,
2,41.74088104,-111.82778,328,
2,41.74089477,-111.828553,329,
2,41.74091777,-111.8291356,330,
2,41.74091929,-111.8292425,331,
2,41.74093315,-111.8293174,332,
2,41.74096428,-111.8293987,333,
2,41.74100373,-111.8294627,334,
2,41.74101697,-111.8295405,335,
2,41.7410097,-111.8296165,336,
2,41.74097686,-111.8297073,337,
2,41.74094386,-111.8297495,338,
2,41.74092991,-111.8298195,339,
2,41.74091444,-111.8299362,340,
2,41.74091606,-111.8300696,341,
2,41.74091759,-111.8302613,342,
2,41.74091165,-111.8304391,343,
2,41.74091694,-111.8306178,344,
2,41.74092057,-111.8308208,345,
2,41.74092381,-111.8310353,346,
2,41.74092542,-111.8312078,347,
2,41.74093014,-111.831361,348,
2,41.74092697,-111.8315016,349,
2,41.74090327,-111.8315252,350,
2,41.74086053,-111.8315342,351,
2,41.74079051,-111.8315407,352,
2,41.74071885,-111.8315212,353,
2,41.74067203,-111.8314769,354,
2,41.74063419,-111.8314144,355,
2,41.74058447,-111.8313242,356,
2,41.74052794,-111.8311888,357,
2,41.74050052,-111.8311153,358,
2,41.74048339,-111.8309867,359,
2,41.74046419,-111.8308124,360,
2,41.74048255,-111.8307071,361,
2,41.74049168,-111.8306533,362,
2,41.74052803,-111.8305696,363,
2,41.74055201,-111.8305125,364,
2,41.74055201,-111.8304925,365,
3_2,41.74079755,-111.8306211,366,
3,41.74079755,-111.8306211,366,
3_2,41.74086268,-111.8304207,367,
3,41.74086268,-111.8304207,367,
3_2,41.74086417,-111.8301742,368,
3,41.74086417,-111.8301742,368,
3_2,41.74085717,-111.8300396,369,
3,41.74085717,-111.8300396,369,
3_2,41.74084656,-111.8299387,370,
3,41.74084656,-111.8299387,370,
3_2,41.74083762,-111.829827,371,
3,41.74083762,-111.829827,371,
3_2,41.74079712,-111.8297395,372,
3,41.74079712,-111.8297395,372,
3_2,41.74074453,-111.829639,373,
3,41.74074453,-111.829639,373,
3_2,41.74073401,-111.8295517,374,
3,41.74073401,-111.8295517,374,
3_2,41.74075854,-111.8294255,375,
3,41.74075854,-111.8294255,375,
3_2,41.74082503,-111.8293636,376,
3,41.74082503,-111.8293636,376,
3_2,41.74092058,-111.8293577,377,
3,41.74092058,-111.8293577,377,
3_2,41.74097632,-111.8294095,378,
3,41.74097632,-111.8294095,378,
3_2,41.74099919,-111.8294411,379,
3,41.74099919,-111.8294411,379,
3_2,41.7410646,-111.8294772,380,
3,41.7410646,-111.8294772,380,
3_2,41.74126583,-111.8295074,381,
3,41.74126583,-111.8295074,381,
3_2,41.7413446,-111.8295073,382,
