link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000016,1500022,1500041,bus,1,10.2,1,service_links,460.92027094260857,19,999999,27.62758866788863,0,1.0,18999981,0.15,4,0,"LINESTRING (-111.845258 41.736108, -111.849854 41.73378)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,4,10.2:1;2;3;4;5;6;7
1000017,1500041,1500039,bus,1,10.2,1,service_links,514.2336448103874,19,999999,15.419299694464392,0,2.0,18999981,0.15,4,0,"LINESTRING (-111.849854 41.73378, -111.849955 41.729156)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,5,10.2:1;2;3;4;5;6;7
1000018,1500039,1500024,bus,1,10.2,1,service_links,425.43432086159845,19,999999,25.50055869300291,0,1.0,18999981,0.15,4,0,"LINESTRING (-111.849955 41.729156, -111.854879 41.728091)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,6,10.2:1;2;3;4;5;6;7
1000019,1500015,1500018,bus,1,10.2,1,service_links,462.6550264195801,38,999999,27.73157001515965,0,1.0,37999962,0.15,4,0,"LINESTRING (-111.831287 41.740637, -111.83652 41.7392)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,1,10.2:1;2;3;4;5;6;7;8
1000020,1500018,1500021,bus,1,10.2,1,service_links,385.267378712556,38,999999,23.092949772980383,0,1.0,37999962,0.15,4,0,"LINESTRING (-111.83652 41.7392, -111.841163 41.739243)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,2,10.2:1;2;3;4;5;6;7;8
1000021,1500021,1500023,bus,1,10.2,1,service_links,486.7934958130916,38,999999,14.59650662108221,0,2.0,37999962,0.15,4,0,"LINESTRING (-111.841163 41.739243, -111.845258 41.736108)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,3,10.2:1;2;3;4;5;6;7;8
1000022,1500023,1500042,bus,1,10.2,1,service_links,460.92027094260857,38,999999,27.62758866788863,0,1.0,37999962,0.15,4,0,"LINESTRING (-111.845258 41.736108, -111.849854 41.73378)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,4,10.2:1;2;3;4;5;6;7;8
1000023,1500042,1500040,bus,1,10.2,1,service_links,514.2336448103874,38,999999,15.419299694464392,0,2.0,37999962,0.15,4,0,"LINESTRING (-111.849854 41.73378, -111.849955 41.729156)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,5,10.2:1;2;3;4;5;6;7;8
1000024,1500040,1500025,bus,1,10.2,1,service_links,425.43432086159845,38,999999,25.50055869300291,0,1.0,37999962,0.15,4,0,"LINESTRING (-111.849955 41.729156, -111.854879 41.728091)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,6,10.2:1;2;3;4;5;6;7;8
1000025,1500025,1500027,bus,1,10.2,1,service_links,1417.2873263785084,38,999999,84.95228729541509,0,1.0,37999962,0.15,4,0,"LINESTRING (-111.854879 41.728091, -111.859293 41.740404)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,7,10.2:1;2;3;4;5;6;7;8
