link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500001,1500004,bus,1,5714.1,1,service_links,344.1715172584591,8,999999,20650.291035507547,0,0.0,7999992,0.15,4,0,"LINESTRING (-111.830729 41.740475, -111.826607 41.740822)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,0,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000002,1500004,1500005,bus,1,5714.1,1,service_links,424.6044896297054,8,999999,25.450818559223105,0,1.0,7999992,0.15,4,0,"LINESTRING (-111.826607 41.740822, -111.821491 41.740727)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,1,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000003,1500005,1500006,bus,1,5714.1,1,service_links,1092.8401214964315,8,999999,16.388504696272403,0,4.0,7999992,0.15,4,0,"LINESTRING (-111.821491 41.740727, -111.80928 41.744412)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,2,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000004,1500006,1500015,bus,1,5714.1,1,service_links,498.182762371453,8,999999,29.861104637649536,0,1.0,7999992,0.15,4,0,"LINESTRING (-111.80928 41.744412, -111.803278 41.744277)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,3,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000005,1500015,1500007,bus,1,5714.1,1,service_links,821.4592319202111,8,999999,49.23831559961306,0,1.0,7999992,0.15,4,0,"LINESTRING (-111.803278 41.744277, -111.804376 41.751619)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,4,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000006,1500007,1500008,bus,1,5714.1,1,service_links,616.5602238382553,8,999999,18.48756293368082,0,2.0,7999992,0.15,4,0,"LINESTRING (-111.804376 41.751619, -111.803659 41.757138)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,5,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000007,1500008,1500009,bus,1,5714.1,1,service_links,494.23593307577363,8,999999,29.62453145309333,0,1.0,7999992,0.15,4,0,"LINESTRING (-111.803659 41.757138, -111.797936 41.758375)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,6,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000008,1500009,1500002,bus,1,5714.1,1,service_links,210.69188454381302,8,999999,12.628884188440342,0,1.0,7999992,0.15,4,0,"LINESTRING (-111.797936 41.758375, -111.795396 41.75839)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,7,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000009,1500002,1500010,bus,1,5714.1,1,service_links,389.8785392523251,8,999999,23392.712355139505,0,0.0,7999992,0.15,4,0,"LINESTRING (-111.795396 41.75839, -111.794635 41.75493)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,8,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1000010,1500010,1500011,bus,1,5714.1,1,service_links,193.8205856129792,8,999999,11.617617519259493,0,1.0,7999992,0.15,4,0,"LINESTRING (-111.794635 41.75493, -111.794614 41.753187)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,CVTD Cache Valley Transit District,9,5714.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
