name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
7543020,1000040,1000040,-111.814923,41.737463,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.814923 41.737463),0,,
7543021,1000041,1000041,-111.812859,41.736213,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.812859 41.736213),0,,
7543022,1000042,1000042,-111.812007,41.733165,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.812007 41.733165),0,,
7543023,1000043,1000043,-111.814486,41.731885,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.814486 41.731885),0,,
7543032,1000044,1000044,-111.81988,41.73119,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.81988 41.73119),0,,
7543033,1000045,1000045,-111.822689,41.731239,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.822689 41.731239),0,,
7543034,1000046,1000046,-111.825582,41.731291,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.825582 41.731291),0,,
7543036,1000047,1000047,-111.832166,41.735913,3,5731,stop,,,,CVTD Cache Valley Transit District,POINT (-111.832166 41.735913),0,,
7543162,1000048,1000048,-111.874098,42.094759,3,5739,stop,,,,CVTD Cache Valley Transit District,POINT (-111.874098 42.094759),1,,
7546686,1000049,1000049,-111.830874,41.740435,3,5735,stop,,,,CVTD Cache Valley Transit District,POINT (-111.830874 41.740435),1,,
7546688,1000050,1000050,-111.813917,41.910577,3,5735,stop,,,,CVTD Cache Valley Transit District,POINT (-111.813917 41.910577),0,,
7546689,1000051,1000051,-111.809254,41.911846,3,5735,stop,,,,CVTD Cache Valley Transit District,POINT (-111.809254 41.911846),0,,
7546690,1000052,1000052,-111.808854,41.915934,3,5735,stop,,,,CVTD Cache Valley Transit District,POINT (-111.808854 41.915934),0,,
7546691,1000053,1000053,-111.808773,41.918645,3,5735,stop,,,,CVTD Cache Valley Transit District,POINT (-111.808773 41.918645),0,,
7546692,1000054,1000054,-111.80865,41.922022,3,5735,stop,,,,CVTD Cache Valley Transit District,POINT (-111.80865 41.922022),0,,
7546693,1000055,1000055,-111.814514,41.919978,3,5735,stop,,,,CVTD Cache Valley Transit District,POINT (-111.814514 41.919978),0,,
7547676,1000056,1000056,-111.830576,41.710165,3,5731,stop,,,,CVTD Cache Valley Transit District,POINT (-111.830576 41.710165),0,,
7547677,1000057,1000057,-111.834736,41.713745,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.834736 41.713745),0,,
7547678,1000058,1000058,-111.834933,41.737855,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.834933 41.737855),0,,
7547679,1000059,1000059,-111.835067,41.732193,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.835067 41.732193),0,,
7547680,1000060,1000060,-111.835264,41.724815,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.835264 41.724815),0,,
7547681,1000061,1000061,-111.835319,41.723267,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.835319 41.723267),0,,
7547682,1000062,1000062,-111.834745,41.712581,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.834745 41.712581),0,,
7547683,1000063,1000063,-111.832255,41.710112,3,5731,stop,,,,CVTD Cache Valley Transit District,POINT (-111.832255 41.710112),0,,
7547688,1000064,1000064,-111.835184,41.719811,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.835184 41.719811),0,,
7547689,1000065,1000065,-111.835056,41.724431,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.835056 41.724431),0,,
7547690,1000066,1000066,-111.834858,41.732392,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.834858 41.732392),0,,
7547691,1000067,1000067,-111.834711,41.736706,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.834711 41.736706),0,,
7548545,1000068,1000068,-111.831397,41.740745,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.831397 41.740745),1,,
7548549,1000069,1000069,-111.83352,41.673717,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.83352 41.673717),0,,
7548550,1000070,1000070,-111.833722,41.666093,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.833722 41.666093),0,,
7548551,1000071,1000071,-111.8338,41.663215,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.8338 41.663215),0,,
7548552,1000072,1000072,-111.83279,41.641644,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.83279 41.641644),0,,
7548553,1000073,1000073,-111.832729,41.636171,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.832729 41.636171),0,,
7548554,1000074,1000074,-111.834777,41.633679,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.834777 41.633679),0,,
7548555,1000075,1000075,-111.842847,41.633832,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.842847 41.633832),0,,
7548556,1000076,1000076,-111.853162,41.634052,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.853162 41.634052),0,,
7548557,1000077,1000077,-111.857599,41.634174,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.857599 41.634174),0,,
7548558,1000078,1000078,-111.860671,41.635016,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.860671 41.635016),0,,
7548559,1000079,1000079,-111.860563,41.638129,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.860563 41.638129),0,,
7548560,1000080,1000080,-111.860766,41.642849,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.860766 41.642849),0,,
7548561,1000081,1000081,-111.861544,41.644193,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.861544 41.644193),0,,
7548562,1000082,1000082,-111.865902,41.64318,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.865902 41.64318),0,,
