stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7565653,104,"715 South Gateway Drive","DLD",41.71851,-111.83123,,,0,,,0,,
7565654,1105,"357 North Gateway Drive","",41.715036,-111.8301,,,0,,,0,,
7565655,1107,"45 West 1200 South","South Walmart",41.710289,-111.837041,,,0,,,0,,
7565656,1108,"1305 South Talon Dr","",41.707423,-111.841228,,,0,,,0,,
7565657,1110,"443 West 1700 South","",41.703043,-111.848009,,,0,,,0,,
7565659,1112,"1771 Hyclone Dr","",41.701843,-111.856071,,,0,,,0,,
7565660,1113,"1129 West 1800 South","The Springs",41.700135,-111.862796,,,0,,,0,,
7565661,1114,"1776 South 1280 West","The Springs",41.700709,-111.86667,,,0,,,0,,
7565726,1115,"1260 West 1610 South","The Springs",41.703402,-111.866308,,,0,,,0,,
7565727,1116,"1776 South 1200 West","The Springs",41.700668,-111.864827,,,0,,,0,,
7565728,1117,"1270 W Nibley Park Ave","Across from Thomas Edison Charter South",41.689367,-111.864943,,,0,,,0,,
7565729,1118,"1118 West Nibley Park Ave","",41.688951,-111.859762,,,0,,,0,,
7565730,1119,"860 West Nibley Park Ave","",41.688466,-111.853859,,,0,,,0,,
7565731,1120,"740 West 2600 South","Elkhorn Park / Nibley Elementary",41.685486,-111.850782,,,0,,,0,,
7565732,1121,"2639 South 600 West","",41.684543,-111.847422,,,0,,,0,,
7565733,1122,"2775 South 600 West","",41.682559,-111.847434,,,0,,,0,,
7565734,1123,"2963 South 600 West","",41.679296,-111.847247,,,0,,,0,,
7565736,1125,"625 West 3200 South","",41.674944,-111.847648,,,0,,,0,,
7565737,1126,"965 West 3200 South","Heritage Elementary",41.67503801708495,-111.8562943411045,,,0,,,0,,
7565738,1127,"2930 South 1000 West","",41.67948699999999,-111.85782158895492,,,0,,,0,,
7565739,1128,"2710 South 1000 West","",41.68367,-111.857192,,,0,,,0,,
7565740,1129,"2560 South 1000 West","",41.686458,-111.857228,,,0,,,0,,
7565741,1130,"1129 West Nibley Park Ave","",41.689017,-111.859765,,,0,,,0,,
7565742,1131,"1285 W Nibley Park Ave","Thomas Edison Charter South",41.68942,-111.865102,,,0,,,0,,
7565907,1132,"1722 Hyclone Drive","ThermoFisher / Cytiva",41.701754,-111.855844,,,0,,,0,,
7565908,1133,"880 West 1600 South","IFit",41.7038510138595,-111.858007084656,,,0,,,0,,
7565909,1134,"410 West 1700 South","SEI",41.702821,-111.847319,,,0,,,0,,
7565910,1135,"1556 South Talon Drive","Blackhawk Townhomes",41.704198,-111.841135,,,0,,,0,,
7565911,1136,"1250 South Talon Drive","Blackhawk Townhomes",41.707634,-111.841222,,,0,,,0,,
7565912,1137,"1240 South Legrand St","",41.709683,-111.839457,,,0,,,0,,
7565913,1140,"358 North Gateway Dr","",41.7149770586987,-111.830007,,,0,,,0,,
7565914,1141,"760 South Gateway Dr","Conservice",41.718185018661835,-111.83071965889545,,,0,,,0,,
7565915,1142,"690 South 100 East","Falls at Riverwoods",41.72093,-111.831871,,,0,,,0,,
7565916,320,"290 South 100 East","",41.72616,-111.832448,,,0,,,0,,
7565917,321,"10 South 100 East","Century Link",41.730782,-111.832306,,,0,,,0,,
7565918,1109,"1559 South Talon Dr","",41.704134,-111.841218,,,0,,,0,,
7565919,318,"31 South 300 East","Sport Court at Central Park",41.730024,-111.827391,,,0,,,0,,
7565920,319,"280 South 300 East","",41.726141,-111.82753,,,0,,,0,,
7567309,800,"150 East 500 North - Route 8","Transit Center Route 8",41.740633,-111.831291,,,0,,,0,,
7567310,605,"813 West 200 South","Roto Rooter",41.728066,-111.854828,,,0,,,0,,
7567311,806,"445 North 1000 West","Logan Environmental Center",41.74041,-111.859306,,,0,,,0,,
7568044,900,"150 East 500 North - Route 9","Intermodal Transit Center",41.740562,-111.830728,,,0,,,0,,
7568045,911,"390 West 1800 North","",41.76512,-111.843281,,,0,,,0,,
7568621,912,"250 West 1800 North","Yorkshire Village",41.765069,-111.840943,,,0,,,0,,
7568622,913,"1711 North 200 West","",41.763342,-111.839125,,,0,,,0,,
7568623,914,"1425 North 200 West","Deseret Industries",41.758554,-111.839252,,,0,,,0,,
7568624,915,"1331 North 200 West","Sam's Club",41.755961,-111.839308,,,0,,,0,,
7568625,916,"1197 North 200 West","",41.753683,-111.839453,,,0,,,0,,
7568626,917,"987 North 200 West","Canal Bridge",41.749329,-111.839488,,,0,,,0,,
7568627,918,"757 North 200 West","",41.745728,-111.839614,,,0,,,0,,
7568628,919,"583 North 200 West","",41.742396,-111.839933,,,0,,,0,,
7568629,920,"62 West 500 North","",41.740936,-111.836449,,,0,,,0,,
7568630,901,"61 West 500 North","",41.740991,-111.836378,,,0,,,0,,
7568631,902,"566 North 200 West","",41.742173,-111.839802,,,0,,,0,,
7568632,903,"740 North 200 West","Willow Creek Cove Apts",41.745208,-111.839514,,,0,,,0,,
7568633,904,"1000 North 200 West","Community Church",41.749806,-111.839375,,,0,,,0,,
7568634,905,"1185 North 200 West","",41.753141,-111.839353,,,0,,,0,,
7568635,906,"1320 North 200 West","Sam's Club",41.755726,-111.839232,,,0,,,0,,
7568636,907,"285 West 1400 North","NES",41.75777,-111.841184,,,0,,,0,,
7568637,908,"495 West 1400 North","",41.75782,-111.845379,,,0,,,0,,
7568638,909,"1420 North 600 West","JC Auto",41.758336,-111.848947,,,0,,,0,,
7568639,910,"560 West 1800 North","Aspen Court Apartments",41.765208,-111.847732,,,0,,,0,,
7569072,101,"310 East 500 North","",41.740822,-111.826607,,,0,,,0,,
7569073,102,"508 East 500 North","Across from Adam's Park",41.740727,-111.821491,,,0,,,0,,
7569074,103,"980 East 700 North","Distance Ed Bldg ",41.744412,-111.80928,,,0,,,0,,
7569076,105,"1110 North 1200 East","Aggie Village",41.751619,-111.804376,,,0,,,0,,
7569077,106,"1210 East 1400 North","Foothill Mart",41.757138,-111.803659,,,0,,,0,,
7569078,107,"1450 East 1500 North","LDS Church",41.758375,-111.797936,,,0,,,0,,
7569080,802,"251 West 400 North","",41.739201,-111.841177,,,0,,,0,,
7569081,803,"240 North 400 West","Ellis Elementary",41.736102,-111.84518,,,0,,,0,,
7569082,603,"100 North 600 West","",41.733773,-111.849761,,,0,,,0,,
7569083,604,"125 South 600 West","Multimetals",41.72915,-111.849932,,,0,,,0,,
7569084,807,"730 North 1000 West","",41.744985,-111.859042,,,0,,,0,,
7569086,809,"1330 North 1000 West","BTECH West Campus",41.756605,-111.858735,,,0,,,0,,
7569087,810,"750 West 1400 North","Fast Forward",41.757746,-111.85259,,,0,,,0,,
