trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1_0611,5714,1,,"",0,426854,24625,
1_0630,5714,1,,"",0,426854,24625,
1_0700,5714,1,,"",0,426854,24625,
1_0730,5714,1,,"",0,426854,24625,
1_0800,5714,1,,"",0,426854,24625,
1_0830,5714,1,,"",0,426854,24625,
1_0900,5714,1,,"",0,426854,24625,
1_0930,5714,1,,"",0,426854,24625,
1_1000,5714,1,,"",0,426854,24625,
1_1030,5714,1,,"",0,426854,24625,
1_1100,5714,1,,"",0,426854,24625,
1_1130,5714,1,,"",0,426854,24625,
1_1200,5714,1,,"",0,426854,24625,
1_1230,5714,1,,"",0,426854,24625,
1_1300,5714,1,,"",0,426854,24625,
1_1330,5714,1,,"",0,426854,24625,
1_1400,5714,1,,"",0,426854,24625,
1_1430,5714,1,,"",0,426854,24625,
1_1500,5714,1,,"",0,426854,24625,
1_1530,5714,1,,"",0,426854,24625,
1_1600,5714,1,,"",0,426854,24625,
1_1630,5714,1,,"",0,426854,24625,
1_1700,5714,1,,"",0,426854,24625,
1_1730,5714,1,,"",0,426854,24625,
1_1800,5714,1,,"",0,426854,24625,
1_1830,5714,1,,"",0,426854,24625,
1_1900,5714,1,,"",0,426854,24625,
1_1930,5714,1,,"",0,426854,24625,
1_2000,5714,1,,"",0,426854,24625,
1_2030,5714,1,,"",0,426854,24625,
11_0530_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_0530_O,5731,1,Southbound,"",0,426862,24563,
11_0630_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_0630_O,5731,1,Southbound,"",0,426862,24563,
11_0730_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_0730_O,5731,1,Southbound,"",0,426862,24563,
11_0830_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_0830_O,5731,1,Southbound,"",0,426862,24563,
11_0930_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_0930_O,5731,1,Southbound,"",0,426862,24563,
11_1030_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1030_O,5731,1,Southbound,"",0,426862,24563,
11_1130_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1130_O,5731,1,Southbound,"",0,426862,24563,
11_1230_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1230_O,5731,1,Southbound,"",0,426862,24563,
11_1330_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1330_O,5731,1,Southbound,"",0,426862,24563,
11_1430_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1430_O,5731,1,Southbound,"",0,426862,24563,
11_1530_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1530_O,5731,1,Southbound,"",0,426862,24563,
11_1630_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1630_O,5731,1,Southbound,"",0,426862,24563,
11_1730_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1730_O,5731,1,Southbound,"",0,426862,24563,
11_1830_I,5731,1,ROUTE 11 INBOUND,"",1,426862,19016,
11_1830_O,5731,1,Southbound,"",0,426862,24563,
11S_1030_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1030_O,5731,2,Southbound,"",0,426878,24563,
11S_1130_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1130_O,5731,2,Southbound,"",0,426878,24563,
11S_1230_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1230_O,5731,2,Southbound,"",0,426878,24563,
11S_1330_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1330_O,5731,2,Southbound,"",0,426878,24563,
11S_1430_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1430_O,5731,2,Southbound,"",0,426878,24563,
11S_1530_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1530_O,5731,2,Southbound,"",0,426878,24563,
11S_1630_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1630_O,5731,2,Southbound,"",0,426878,24563,
11S_1730_I,5731,2,ROUTE 11 INBOUND,"",1,426878,19016,
11S_1730_O,5731,2,Southbound,"",0,426878,24563,
12_0500_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_0500_O,5738,1,Hyrum,"",0,426867,21105,
12_0600_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_0600_O,5738,1,Hyrum,"",0,426867,21105,
12_0700_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_0700_O,5738,1,Hyrum,"",0,426867,21105,
12_0800_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_0800_O,5738,1,Hyrum,"",0,426867,21105,
12_0900_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_0900_O,5738,1,Hyrum,"",0,426867,21105,
12_1000_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1000_O,5738,1,Hyrum,"",0,426867,21105,
12_1100_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1100_O,5738,1,Hyrum,"",0,426867,21105,
12_1200_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1200_O,5738,1,Hyrum,"",0,426867,21105,
12_1300_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1300_O,5738,1,Hyrum,"",0,426867,21105,
12_1400_I,5738,1,"Hyrum, Transit Center","",1,426867,20937,
12_1400_O,5738,1,Hyrum,"",0,426867,21105,
